image_file,image_id,image_size,class
./img/128/aluminium_foil\00001.png,1,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00002.png,2,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00003.png,3,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00004.png,4,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00005.png,5,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00006.png,6,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00007.png,7,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00008.png,8,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00009.png,9,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00010.png,10,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00011.png,11,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00012.png,12,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00013.png,13,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00014.png,14,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00015.png,15,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00016.png,16,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00017.png,17,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00018.png,18,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00019.png,19,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00020.png,20,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00021.png,21,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00022.png,22,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00023.png,23,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00024.png,24,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00025.png,25,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00026.png,26,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00027.png,27,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00028.png,28,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00029.png,29,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00030.png,30,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00031.png,31,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00032.png,32,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00033.png,33,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00034.png,34,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00035.png,35,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00036.png,36,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00037.png,37,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00038.png,38,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00039.png,39,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00040.png,40,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00041.png,41,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00042.png,42,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00043.png,43,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00044.png,44,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00045.png,45,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00046.png,46,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00047.png,47,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00048.png,48,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00049.png,49,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00050.png,50,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00051.png,51,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00052.png,52,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00053.png,53,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00054.png,54,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00055.png,55,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00056.png,56,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00057.png,57,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00058.png,58,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00059.png,59,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00060.png,60,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00061.png,61,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00062.png,62,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00063.png,63,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00064.png,64,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00065.png,65,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00066.png,66,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00067.png,67,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00068.png,68,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00069.png,69,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00070.png,70,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00071.png,71,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00072.png,72,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00073.png,73,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00074.png,74,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00075.png,75,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00076.png,76,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00077.png,77,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00078.png,78,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00079.png,79,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00080.png,80,"(128, 128)",aluminium_foil
./img/128/aluminium_foil\00081.png,81,"(128, 128)",aluminium_foil
./img/128/brown_bread\00082.png,82,"(128, 128)",brown_bread
./img/128/brown_bread\00083.png,83,"(128, 128)",brown_bread
./img/128/brown_bread\00084.png,84,"(128, 128)",brown_bread
./img/128/brown_bread\00085.png,85,"(128, 128)",brown_bread
./img/128/brown_bread\00086.png,86,"(128, 128)",brown_bread
