image_file,image_id,image_size,class
./img/64/aluminium_foil\00001.png,00001,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00002.png,00002,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00003.png,00003,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00004.png,00004,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00005.png,00005,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00006.png,00006,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00007.png,00007,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00008.png,00008,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00009.png,00009,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00010.png,00010,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00011.png,00011,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00012.png,00012,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00013.png,00013,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00014.png,00014,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00015.png,00015,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00016.png,00016,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00017.png,00017,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00018.png,00018,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00019.png,00019,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00020.png,00020,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00021.png,00021,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00022.png,00022,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00023.png,00023,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00024.png,00024,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00025.png,00025,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00026.png,00026,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00027.png,00027,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00028.png,00028,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00029.png,00029,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00030.png,00030,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00031.png,00031,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00032.png,00032,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00033.png,00033,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00034.png,00034,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00035.png,00035,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00036.png,00036,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00037.png,00037,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00038.png,00038,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00039.png,00039,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00040.png,00040,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00041.png,00041,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00042.png,00042,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00043.png,00043,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00044.png,00044,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00045.png,00045,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00046.png,00046,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00047.png,00047,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00048.png,00048,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00049.png,00049,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00050.png,00050,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00051.png,00051,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00052.png,00052,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00053.png,00053,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00054.png,00054,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00055.png,00055,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00056.png,00056,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00057.png,00057,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00058.png,00058,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00059.png,00059,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00060.png,00060,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00061.png,00061,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00062.png,00062,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00063.png,00063,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00064.png,00064,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00065.png,00065,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00066.png,00066,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00067.png,00067,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00068.png,00068,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00069.png,00069,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00070.png,00070,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00071.png,00071,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00072.png,00072,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00073.png,00073,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00074.png,00074,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00075.png,00075,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00076.png,00076,"(64, 64)",aluminium_foil
./img/64/aluminium_foil\00077.png,00077,"(64, 64)",aluminium_foil
