image_file,image_id,image_size,class,embedding_file,embedding_method
./img/64/aluminium_foil/00001.png,1,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00001.npy,raster1
./img/64/aluminium_foil/00002.png,2,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00002.npy,raster1
./img/64/aluminium_foil/00003.png,3,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00003.npy,raster1
./img/64/aluminium_foil/00004.png,4,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00004.npy,raster1
./img/64/aluminium_foil/00005.png,5,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00005.npy,raster1
./img/64/aluminium_foil/00006.png,6,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00006.npy,raster1
./img/64/aluminium_foil/00007.png,7,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00007.npy,raster1
./img/64/aluminium_foil/00008.png,8,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00008.npy,raster1
./img/64/aluminium_foil/00009.png,9,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00009.npy,raster1
./img/64/aluminium_foil/00010.png,10,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00010.npy,raster1
./img/64/aluminium_foil/00011.png,11,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00011.npy,raster1
./img/64/aluminium_foil/00012.png,12,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00012.npy,raster1
./img/64/aluminium_foil/00013.png,13,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00013.npy,raster1
./img/64/aluminium_foil/00014.png,14,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00014.npy,raster1
./img/64/aluminium_foil/00015.png,15,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00015.npy,raster1
./img/64/aluminium_foil/00016.png,16,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00016.npy,raster1
./img/64/aluminium_foil/00017.png,17,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00017.npy,raster1
./img/64/aluminium_foil/00018.png,18,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00018.npy,raster1
./img/64/aluminium_foil/00019.png,19,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00019.npy,raster1
./img/64/aluminium_foil/00020.png,20,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00020.npy,raster1
./img/64/aluminium_foil/00021.png,21,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00021.npy,raster1
./img/64/aluminium_foil/00022.png,22,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00022.npy,raster1
./img/64/aluminium_foil/00023.png,23,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00023.npy,raster1
./img/64/aluminium_foil/00024.png,24,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00024.npy,raster1
./img/64/aluminium_foil/00025.png,25,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00025.npy,raster1
./img/64/aluminium_foil/00026.png,26,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00026.npy,raster1
./img/64/aluminium_foil/00027.png,27,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00027.npy,raster1
./img/64/aluminium_foil/00028.png,28,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00028.npy,raster1
./img/64/aluminium_foil/00029.png,29,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00029.npy,raster1
./img/64/aluminium_foil/00030.png,30,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00030.npy,raster1
./img/64/aluminium_foil/00031.png,31,"(64, 64)",aluminium_foil,./emb/64/raster1\aluminium_foil\00031.npy,raster1
