image_file,image_id,image_size,class,embedding_file,embedding_method,embedding_dimension,time_delay,ordinal_pattern,ordinal_probability
./img/128/aluminium_foil/00001.png,1,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00001.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.34263216 0.10890001 0.10255158 0.11988768 0.11347821 0.21255036]
./img/128/aluminium_foil/00002.png,2,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00002.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.31327066 0.11244048 0.10932731 0.12318398 0.12013185 0.22164571]
./img/128/aluminium_foil/00003.png,3,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00003.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.33634477 0.10712978 0.10890001 0.11683555 0.11860579 0.2121841 ]
./img/128/aluminium_foil/00004.png,4,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00004.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.28165059 0.12825052 0.12171896 0.14052008 0.13398852 0.19387132]
./img/128/aluminium_foil/00005.png,5,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00005.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.26596264 0.13075327 0.12916616 0.14222928 0.14058113 0.19130753]
./img/128/aluminium_foil/00006.png,6,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00006.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.25399829 0.13185203 0.1329508  0.13649127 0.137529   0.20717861]
./img/128/aluminium_foil/00007.png,7,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00007.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.32059578 0.11360029 0.10627518 0.11994872 0.11262361 0.22695642]
./img/128/aluminium_foil/00008.png,8,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00008.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.31351483 0.1077402  0.10658039 0.12202417 0.12086436 0.22927603]
./img/128/aluminium_foil/00009.png,9,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00009.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.30918081 0.11579783 0.11360029 0.12452692 0.12239043 0.21450372]
./img/128/aluminium_foil/00010.png,10,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00010.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.27939202 0.12525943 0.12336711 0.13679648 0.13490416 0.2002808 ]
./img/128/aluminium_foil/00011.png,11,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00011.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.26803809 0.12672445 0.12696862 0.13801734 0.13832255 0.20192895]
./img/128/aluminium_foil/00012.png,12,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00012.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.26889269 0.12702967 0.12629716 0.13874985 0.13807838 0.20095226]
./img/128/aluminium_foil/00013.png,13,"(128, 128)",aluminium_foil,./emb/128/hilbert\aluminium_foil\00013.npy,hilbert,3,1,012 021 102 120 201 210 ,[0.2514345  0.13404957 0.1325235  0.13990966 0.13844463 0.20363814]
